カテゴリー,ペルシア語,ローマ字,日本語,英語,備考,レベル
形容詞,تند,tond,速い,fast,,B1
形容詞,کند,kond,遅い,slow,,B1
形容詞,جدید,jadid,新しい,new,,B1
形容詞,روشن,roshan,明るい,bright,,B1
形容詞,تاریک,tarik,暗い,dark,,B1
形容詞,ترسناک,tarsnak,怖い,scary,,B1
形容詞,تمیز,tamiz,きれい,clean,,B1
形容詞,مفید,mofid,役に立つ,useful,,B1
形容詞,ناراحت,narahat,悲しい・不便な,sad/uncomfortable,,B1
形容詞,مناسب,monaseb,適当な,suitable/appropriate,,B1
形容詞,خلوت,khalvat,静かな,quiet/secluded,,B1
形容詞,ضخیم,zakhim,分厚い,thick,,B1
形容詞,قطور,ghatur,分厚い（アラビア語由来）,thick (Arabic origin),,B1
形容詞,گرد,gerd,丸い,round,,B1
形容詞,آزاد,azad,暇・自由,free,,B1
形容詞,معتدل,motadel,温帯の,temperate,,B1
形容詞,صحیح,sahih,正しい（文語）,correct (written),,B1
形容詞,آسان / راحت,asan / rahat,簡単,easy,,B1
形容詞,مهم,mohem,重要,important,,B1
形容詞,درشت,dorosht,大きい・粗い,large/coarse,,B1
形容詞,خندان,khandan,笑顔の・明るい,smiling/cheerful,,B1
形容詞,دور,dur,遠い,far,,B1
形容詞,پر سر و صدا / شلوغ,por sar o seda / sholugh,騒がしい,noisy/crowded,,B1
形容詞,رنگارنگ,rangarang,色々・カラフル,colorful,,B1
副詞・表現,بسیار,besiyar,とても,very much,= خیلی,B1
副詞・表現,تقریبا,taghriban,大体,approximately,,B1
副詞・表現,اخیرا,akhiran,最近,recently,,B1
副詞・表現,زود,zud,早く,early/quickly,,B1
副詞・表現,مثل همیشه,mesle hamishe,いつも通り,as always,,B1
副詞・表現,در واقع,dar vaghe,実は,in fact,,B1
副詞・表現,تنها,tanha,一人で,alone,,B1
副詞・表現,به نظر میاد,be nazar miad,〜そうです・〜に見える,it seems like,,B1
副詞・表現,بعلاوه,be alave,さらに,moreover,,B1
副詞・表現,خوش به حال شما,khosh be hale shoma,よかったね,good for you,,B1
副詞・表現,چاره ای نیست,charei nist,しょうがない,there's no choice,,B1
副詞・表現,نمیشه کاری کرد,nemishe kari kard,しょうがない,nothing can be done,,B1
副詞・表現,این چه وضعیه,in che vaz'iye,どうしてこうなってる,what's going on,,B1
時間,پارسال / سال پیش / سال قبل,parsal / sale pish / sale ghabl,去年,last year,,A2
時間,پریروز,pariruz,おととい,day before yesterday,,A2
時間,پس فردا,pas farda,明後日,day after tomorrow,,A2
時間,دوره,dore,時代,era/period,,A2
カレンダー,تقویم شمسی,taghvime shamsi,イラン暦,Iranian solar calendar,,A2
